run_id,sweep,agent,propulsion,mission,cost_model,seed,pairing,family,train_steps_requested,eval_episodes,status,learns,protocol_version,report_policy,selection_metric,train_env_steps,eval_env_steps,n_updates,wall_train_s,wall_eval_s,wall_total_s,wall_update_s,act_seconds,act_ms_per_step,planning_sim_steps,num_parameters,n_val_seeds,n_test_seeds,val_seed_lo,test_seed_lo,best_at_step,best_reloaded,norm_frozen,uses_constraints,n_episodes,success_rate,return,return_std,progress,delta_v_m_s,propellant_kg,trip_time_days,wear_fraction,constraint_violations,constraint_cost,terminal_error,payload_delivered_kg,throttle_mean,throttle_saturated_frac,throttle_off_frac,operating_point_mean,throttled_frac,cost_per_kg_delivered,cost_per_kg_delivered_n_finite,cost_total,cost_total_n_finite,cost_per_delta_v,cost_per_delta_v_n_finite,figure_of_merit,figure_of_merit_n_finite,termination_reason_mode,throttled_by_mode,final_n_episodes,final_success_rate,final_return,final_return_std,final_progress,final_delta_v_m_s,final_propellant_kg,final_trip_time_days,final_wear_fraction,final_constraint_violations,final_constraint_cost,final_terminal_error,final_payload_delivered_kg,final_throttle_mean,final_throttle_saturated_frac,final_throttle_off_frac,final_operating_point_mean,final_throttled_frac,final_cost_per_kg_delivered,final_cost_per_kg_delivered_n_finite,final_cost_total,final_cost_total_n_finite,final_cost_per_delta_v,final_cost_per_delta_v_n_finite,final_figure_of_merit,final_figure_of_merit_n_finite,final_termination_reason_mode,final_throttled_by_mode,best_n_episodes,best_success_rate,best_return,best_return_std,best_progress,best_delta_v_m_s,best_propellant_kg,best_trip_time_days,best_wear_fraction,best_constraint_violations,best_constraint_cost,best_terminal_error,best_payload_delivered_kg,best_throttle_mean,best_throttle_saturated_frac,best_throttle_off_frac,best_operating_point_mean,best_throttled_frac,best_cost_per_kg_delivered,best_cost_per_kg_delivered_n_finite,best_cost_total,best_cost_total_n_finite,best_cost_per_delta_v,best_cost_per_delta_v_n_finite,best_figure_of_merit,best_figure_of_merit_n_finite,best_termination_reason_mode,best_throttled_by_mode,cached,train_policy_loss,train_value_loss,train_entropy,train_approx_kl,train_clip_fraction,train_explained_variance,train_epochs_run,train_early_stopped,train_skipped_minibatches,train_n_updates,train_total_steps,train_log_std,train_critic_loss,train_actor_loss,train_alpha_loss,train_q1_mean,train_q2_mean,train_target_q_mean,train_alpha,train_buffer_size,train_skipped_updates
9ea095457811,my_pilot,random,hall_hermes,leo_geo_transfer,reference,0,random@hall_hermes,electric,50000,4,ok,False,3,best,return,0,61320,0,4.780004019266926e-07,31.768720692000898,31.775236837999728,0.0,1.189610863053531,297.40271576338273,0.0,0,3,4,700000000,900000000,0,False,True,False,4,0.0,-18.325936116698486,0.28528051618810846,0.000988784253685454,1293.1754554361398,290.5527970467984,365.0,0.14527639852339921,1.0,0.008828340559144995,5901.92153084492,0.0,0.499147529564968,0.010017123287671233,0.010302511415525115,0.499219095310596,0.00011415525114155251,,0,23126878.960847728,4,,0,0.0,4,timeout,none,4,0.0,-18.325936116698486,0.28528051618810846,0.000988784253685454,1293.1754554361398,290.5527970467984,365.0,0.14527639852339921,1.0,0.008828340559144995,5901.92153084492,0.0,0.499147529564968,0.010017123287671233,0.010302511415525115,0.499219095310596,0.00011415525114155251,,0,23126878.960847728,4,,0,0.0,4,timeout,none,4,0.0,-18.325936116698486,0.28528051618810846,0.000988784253685454,1293.1754554361398,290.5527970467984,365.0,0.14527639852339921,1.0,0.008828340559144995,5901.92153084492,0.0,0.499147529564968,0.010017123287671233,0.010302511415525115,0.499219095310596,0.00011415525114155251,,0,23126878.960847728,4,,0,0.0,4,timeout,none,True,,,,,,,,,,,,,,,,,,,,,
e80b763a9981,my_pilot,random,hall_hermes,leo_geo_transfer,reference,1,random@hall_hermes,electric,50000,4,ok,False,3,best,return,0,61320,0,4.640005499823019e-07,31.152056206000452,31.155180561000634,0.0,1.1677135350155368,291.9283837538842,0.0,0,3,4,700010000,900010000,0,False,True,False,4,0.0,-18.294774730836995,0.24333239588192762,0.0005052616735659599,1305.6639496903892,287.46739473647926,365.0,0.14373369736823965,1.0,0.026289790866717972,5904.940302178036,0.0,0.4990950878420377,0.009817351598173516,0.010445205479452055,0.4964454814408944,8.561643835616438e-05,,0,23110526.634368636,4,,0,0.0,4,timeout,none,4,0.0,-18.294774730836995,0.24333239588192762,0.0005052616735659599,1305.6639496903892,287.46739473647926,365.0,0.14373369736823965,1.0,0.026289790866717972,5904.940302178036,0.0,0.4990950878420377,0.009817351598173516,0.010445205479452055,0.4964454814408944,8.561643835616438e-05,,0,23110526.634368636,4,,0,0.0,4,timeout,none,4,0.0,-18.294774730836995,0.24333239588192762,0.0005052616735659599,1305.6639496903892,287.46739473647926,365.0,0.14373369736823965,1.0,0.026289790866717972,5904.940302178036,0.0,0.4990950878420377,0.009817351598173516,0.010445205479452055,0.4964454814408944,8.561643835616438e-05,,0,23110526.634368636,4,,0,0.0,4,timeout,none,True,,,,,,,,,,,,,,,,,,,,,
a906f6c62838,my_pilot,random,hall_hermes,leo_geo_transfer,reference,2,random@hall_hermes,electric,50000,4,ok,False,3,best,return,0,61320,0,3.530003596097231e-07,31.237443752000218,31.24055130099987,0.0,1.167616332999387,291.90408324984674,0.0,0,3,4,700020000,900020000,0,False,True,False,4,0.0,-18.76332149068443,0.1999487116550753,0.0,1308.074779479115,292.92633901552017,365.0,0.14646316950776012,2.75,0.051658634246226215,5921.302771005581,0.0,0.5017198248643037,0.009589041095890411,0.01113013698630137,0.5007209251605008,0.00019977168949771688,,0,23139458.498062234,4,,0,0.0,4,timeout,thermal,4,0.0,-18.76332149068443,0.1999487116550753,0.0,1308.074779479115,292.92633901552017,365.0,0.14646316950776012,2.75,0.051658634246226215,5921.302771005581,0.0,0.5017198248643037,0.009589041095890411,0.01113013698630137,0.5007209251605008,0.00019977168949771688,,0,23139458.498062234,4,,0,0.0,4,timeout,thermal,4,0.0,-18.76332149068443,0.1999487116550753,0.0,1308.074779479115,292.92633901552017,365.0,0.14646316950776012,2.75,0.051658634246226215,5921.302771005581,0.0,0.5017198248643037,0.009589041095890411,0.01113013698630137,0.5007209251605008,0.00019977168949771688,,0,23139458.498062234,4,,0,0.0,4,timeout,thermal,True,,,,,,,,,,,,,,,,,,,,,
3c183d60f39c,my_pilot,max_thrust,hall_hermes,leo_geo_transfer,reference,0,max_thrust@hall_hermes,electric,50000,4,ok,False,3,best,return,0,61320,0,3.7199970392975956e-07,20.93577897600062,20.938883302999784,0.0,1.0642159620174425,266.0539905043606,0.0,0,3,4,700000000,900000000,0,False,True,False,4,0.0,22.281264751845924,1.3196576092365495,0.5603074344714729,4204.596545108475,1169.4881428900048,365.0,0.5847440714450024,874.5,14.726660182031372,2595.151558855502,0.0,1.0,1.0,0.0,0.0,0.13958333333333334,,0,27785149.190689147,4,,0,0.0,4,timeout,thermal,4,0.0,22.281264751845924,1.3196576092365495,0.5603074344714729,4204.596545108475,1169.4881428900048,365.0,0.5847440714450024,874.5,14.726660182031372,2595.151558855502,0.0,1.0,1.0,0.0,0.0,0.13958333333333334,,0,27785149.190689147,4,,0,0.0,4,timeout,thermal,4,0.0,22.281264751845924,1.3196576092365495,0.5603074344714729,4204.596545108475,1169.4881428900048,365.0,0.5847440714450024,874.5,14.726660182031372,2595.151558855502,0.0,1.0,1.0,0.0,0.0,0.13958333333333334,,0,27785149.190689147,4,,0,0.0,4,timeout,thermal,True,,,,,,,,,,,,,,,,,,,,,
369c4793cfdd,my_pilot,max_thrust,hall_hermes,leo_geo_transfer,reference,1,max_thrust@hall_hermes,electric,50000,4,ok,False,3,best,return,0,61320,0,4.0699978853808716e-07,21.01668697399964,21.019897748000403,0.0,1.0943781850310188,273.5945462577547,0.0,0,3,4,700010000,900010000,0,False,True,False,4,0.0,22.912923012174044,3.242768444952245,0.5694234291316524,4385.608579072868,1196.7644482745648,365.0,0.5983822241372824,609.5,9.262625544478386,2541.38958582347,0.0,1.0,1.0,0.0,0.0,0.10271118721461187,,0,27929710.906125747,4,,0,0.0,4,timeout,thermal,4,0.0,22.912923012174044,3.242768444952245,0.5694234291316524,4385.608579072868,1196.7644482745648,365.0,0.5983822241372824,609.5,9.262625544478386,2541.38958582347,0.0,1.0,1.0,0.0,0.0,0.10271118721461187,,0,27929710.906125747,4,,0,0.0,4,timeout,thermal,4,0.0,22.912923012174044,3.242768444952245,0.5694234291316524,4385.608579072868,1196.7644482745648,365.0,0.5983822241372824,609.5,9.262625544478386,2541.38958582347,0.0,1.0,1.0,0.0,0.0,0.10271118721461187,,0,27929710.906125747,4,,0,0.0,4,timeout,thermal,True,,,,,,,,,,,,,,,,,,,,,
6713c7168767,my_pilot,max_thrust,hall_hermes,leo_geo_transfer,reference,2,max_thrust@hall_hermes,electric,50000,4,ok,False,3,best,return,0,61320,0,6.749996828148142e-07,23.029879310999604,23.033395020999706,0.0,1.1736195889907322,293.40489724768304,0.0,0,3,4,700020000,900020000,0,False,True,False,4,0.0,21.94818145591941,3.0125852154691053,0.5559826207107639,4191.584752050582,1164.700536082741,365.0,0.5823502680413706,828.25,13.699074348269228,2620.3283467767983,0.0,1.0,1.0,0.0,0.0,0.14066780821917807,,0,27759775.34906594,4,,0,0.0,4,timeout,thermal,4,0.0,21.94818145591941,3.0125852154691053,0.5559826207107639,4191.584752050582,1164.700536082741,365.0,0.5823502680413706,828.25,13.699074348269228,2620.3283467767983,0.0,1.0,1.0,0.0,0.0,0.14066780821917807,,0,27759775.34906594,4,,0,0.0,4,timeout,thermal,4,0.0,21.94818145591941,3.0125852154691053,0.5559826207107639,4191.584752050582,1164.700536082741,365.0,0.5823502680413706,828.25,13.699074348269228,2620.3283467767983,0.0,1.0,1.0,0.0,0.0,0.14066780821917807,,0,27759775.34906594,4,,0,0.0,4,timeout,thermal,True,,,,,,,,,,,,,,,,,,,,,
2fcf606b0728,my_pilot,prograde,hall_hermes,leo_geo_transfer,reference,0,prograde@hall_hermes,electric,50000,4,ok,False,3,best,return,0,61320,0,3.410004865145311e-07,23.254963624000084,23.257928910999908,0.0,1.0464999059695401,261.62497649238503,0.0,0,3,4,700000000,900000000,0,False,True,False,4,0.0,23.276983865502384,2.4046959995650474,0.4330246107252481,3065.5773035435727,645.9309249566882,365.0,0.32296546247834407,551.25,8.54467189290553,3346.4134041018965,0.0,1.0,1.0,0.0,0.5,0.08787100456621005,,0,25010347.820541,4,,0,0.0,4,timeout,thermal,4,0.0,23.276983865502384,2.4046959995650474,0.4330246107252481,3065.5773035435727,645.9309249566882,365.0,0.32296546247834407,551.25,8.54467189290553,3346.4134041018965,0.0,1.0,1.0,0.0,0.5,0.08787100456621005,,0,25010347.820541,4,,0,0.0,4,timeout,thermal,4,0.0,23.276983865502384,2.4046959995650474,0.4330246107252481,3065.5773035435727,645.9309249566882,365.0,0.32296546247834407,551.25,8.54467189290553,3346.4134041018965,0.0,1.0,1.0,0.0,0.5,0.08787100456621005,,0,25010347.820541,4,,0,0.0,4,timeout,thermal,True,,,,,,,,,,,,,,,,,,,,,
ea0261558b51,my_pilot,prograde,hall_hermes,leo_geo_transfer,reference,1,prograde@hall_hermes,electric,50000,4,ok,False,3,best,return,0,61320,0,3.9800033846404403e-07,22.31724118099919,22.320183873000133,0.0,1.003678269043121,250.91956726078024,0.0,0,3,4,700010000,900010000,0,False,True,False,4,0.0,25.906715434778462,5.560854250373929,0.458585344968653,3274.9889015234285,674.2002185243574,365.0,0.3371001092621787,213.75,3.1149091800071638,3195.5987452493055,0.0,1.0,1.0,0.0,0.5,0.03573059360730593,,0,25160172.274942238,4,,0,0.0,4,timeout,thermal,4,0.0,25.906715434778462,5.560854250373929,0.458585344968653,3274.9889015234285,674.2002185243574,365.0,0.3371001092621787,213.75,3.1149091800071638,3195.5987452493055,0.0,1.0,1.0,0.0,0.5,0.03573059360730593,,0,25160172.274942238,4,,0,0.0,4,timeout,thermal,4,0.0,25.906715434778462,5.560854250373929,0.458585344968653,3274.9889015234285,674.2002185243574,365.0,0.3371001092621787,213.75,3.1149091800071638,3195.5987452493055,0.0,1.0,1.0,0.0,0.5,0.03573059360730593,,0,25160172.274942238,4,,0,0.0,4,timeout,thermal,True,,,,,,,,,,,,,,,,,,,,,
36e830b5cd96,my_pilot,prograde,hall_hermes,leo_geo_transfer,reference,2,prograde@hall_hermes,electric,50000,4,ok,False,3,best,return,0,61320,0,3.6900019040331244e-07,22.509385651999764,22.51239054599955,0.0,0.9912798480736456,247.8199620184114,0.0,0,3,4,700020000,900020000,0,False,True,False,4,0.0,24.00252723428803,4.162327833517566,0.4407256471347609,3116.095259862786,655.2610682307768,365.0,0.32763053411538845,507.25,7.322971475935063,3300.5038421457793,0.0,1.0,1.0,0.0,0.5,0.08347602739726027,,0,25059796.655269735,4,,0,0.0,4,timeout,thermal,4,0.0,24.00252723428803,4.162327833517566,0.4407256471347609,3116.095259862786,655.2610682307768,365.0,0.32763053411538845,507.25,7.322971475935063,3300.5038421457793,0.0,1.0,1.0,0.0,0.5,0.08347602739726027,,0,25059796.655269735,4,,0,0.0,4,timeout,thermal,4,0.0,24.00252723428803,4.162327833517566,0.4407256471347609,3116.095259862786,655.2610682307768,365.0,0.32763053411538845,507.25,7.322971475935063,3300.5038421457793,0.0,1.0,1.0,0.0,0.5,0.08347602739726027,,0,25059796.655269735,4,,0,0.0,4,timeout,thermal,True,,,,,,,,,,,,,,,,,,,,,
8c0007de6988,my_pilot,edelbaum,hall_hermes,leo_geo_transfer,reference,0,edelbaum@hall_hermes,electric,50000,4,ok,False,3,best,return,0,61320,0,3.839995770249516e-07,23.73554944100033,23.73848598600034,0.0,1.159603859006893,289.9009647517232,0.0,0,3,4,700000000,900000000,0,False,True,False,4,0.0,21.997622812275814,2.7363740652755983,0.4033609305655346,2866.094958257099,568.4421951472016,365.0,0.2842210975736008,860.0,5.926025993447178,3521.4873385266956,0.0,1.0,1.0,0.0,0.6499999761581421,0.06638127853881279,,0,24599665.23173981,4,,0,0.0,4,timeout,thermal,4,0.0,21.997622812275814,2.7363740652755983,0.4033609305655346,2866.094958257099,568.4421951472016,365.0,0.2842210975736008,860.0,5.926025993447178,3521.4873385266956,0.0,1.0,1.0,0.0,0.6499999761581421,0.06638127853881279,,0,24599665.23173981,4,,0,0.0,4,timeout,thermal,4,0.0,21.997622812275814,2.7363740652755983,0.4033609305655346,2866.094958257099,568.4421951472016,365.0,0.2842210975736008,860.0,5.926025993447178,3521.4873385266956,0.0,1.0,1.0,0.0,0.6499999761581421,0.06638127853881279,,0,24599665.23173981,4,,0,0.0,4,timeout,thermal,True,,,,,,,,,,,,,,,,,,,,,
