family,propulsion,mission,sweep,agent,seed,constraint_violations
electric,hall_spt100,leo_geo_transfer,my_pilot,ppo,3,0.0
electric,hall_spt100,leo_geo_transfer,my_pilot,ppo,4,0.0
electric,hall_spt100,leo_geo_transfer,my_pilot,ppo,5,0.0
electric,hall_spt100,leo_geo_transfer,my_pilot,ppo,6,0.0
electric,hall_spt100,leo_geo_transfer,my_pilot,ppo,7,0.0
electric,hall_spt100,leo_geo_transfer,my_pilot,prograde,0,0.0
electric,hall_spt100,leo_geo_transfer,my_pilot,prograde,1,0.0
electric,hall_spt100,leo_geo_transfer,my_pilot,prograde,2,0.0
electric,hall_spt100,leo_geo_transfer,my_pilot,prograde,3,0.0
electric,hall_spt100,leo_geo_transfer,my_pilot,prograde,4,0.0
electric,hall_spt100,leo_geo_transfer,my_pilot,prograde,5,0.0
electric,hall_spt100,leo_geo_transfer,my_pilot,prograde,6,0.0
electric,hall_spt100,leo_geo_transfer,my_pilot,prograde,7,0.0
electric,hall_spt100,leo_geo_transfer,my_pilot,random,0,0.0
electric,hall_spt100,leo_geo_transfer,my_pilot,random,1,0.0
electric,hall_spt100,leo_geo_transfer,my_pilot,random,2,0.0
electric,hall_spt100,leo_geo_transfer,my_pilot,random,3,0.0
electric,hall_spt100,leo_geo_transfer,my_pilot,random,4,0.0
electric,hall_spt100,leo_geo_transfer,my_pilot,random,5,0.0
electric,hall_spt100,leo_geo_transfer,my_pilot,random,6,0.0
electric,hall_spt100,leo_geo_transfer,my_pilot,random,7,0.0
electric,hall_spt100,leo_geo_transfer,my_pilot,sac,0,0.0
electric,hall_spt100,leo_geo_transfer,my_pilot,sac,1,0.0
electric,hall_spt100,leo_geo_transfer,my_pilot,sac,2,0.0
electric,hall_spt100,leo_geo_transfer,my_pilot,sac,3,0.0
electric,hall_spt100,leo_geo_transfer,my_pilot,sac,4,0.0
electric,hall_spt100,leo_geo_transfer,my_pilot,sac,5,0.0
electric,hall_spt100,leo_geo_transfer,my_pilot,sac,6,0.0
electric,hall_spt100,leo_geo_transfer,my_pilot,sac,7,0.0
electric,ion_next,leo_geo_transfer,my_pilot,edelbaum,0,3648.25
electric,ion_next,leo_geo_transfer,my_pilot,edelbaum,1,3664.0
electric,ion_next,leo_geo_transfer,my_pilot,edelbaum,2,3654.75
electric,ion_next,leo_geo_transfer,my_pilot,edelbaum,3,3649.5
electric,ion_next,leo_geo_transfer,my_pilot,edelbaum,4,3654.75
electric,ion_next,leo_geo_transfer,my_pilot,edelbaum,5,3635.5
electric,ion_next,leo_geo_transfer,my_pilot,edelbaum,6,3649.0
electric,ion_next,leo_geo_transfer,my_pilot,edelbaum,7,3654.75
electric,ion_next,leo_geo_transfer,my_pilot,max_thrust,0,0.0
electric,ion_next,leo_geo_transfer,my_pilot,max_thrust,1,0.0
electric,ion_next,leo_geo_transfer,my_pilot,max_thrust,2,0.0
electric,ion_next,leo_geo_transfer,my_pilot,max_thrust,3,0.0
electric,ion_next,leo_geo_transfer,my_pilot,max_thrust,4,0.0
electric,ion_next,leo_geo_transfer,my_pilot,max_thrust,5,0.0
electric,ion_next,leo_geo_transfer,my_pilot,max_thrust,6,0.0
electric,ion_next,leo_geo_transfer,my_pilot,max_thrust,7,0.0
electric,ion_next,leo_geo_transfer,my_pilot,ppo,0,0.0
electric,ion_next,leo_geo_transfer,my_pilot,ppo,1,0.0
electric,ion_next,leo_geo_transfer,my_pilot,ppo,2,0.0
electric,ion_next,leo_geo_transfer,my_pilot,ppo,3,0.0
electric,ion_next,leo_geo_transfer,my_pilot,ppo,4,0.0
electric,ion_next,leo_geo_transfer,my_pilot,ppo,5,0.0
electric,ion_next,leo_geo_transfer,my_pilot,ppo,6,0.0
electric,ion_next,leo_geo_transfer,my_pilot,ppo,7,0.0
electric,ion_next,leo_geo_transfer,my_pilot,prograde,0,3237.5
electric,ion_next,leo_geo_transfer,my_pilot,prograde,1,1744.0
electric,ion_next,leo_geo_transfer,my_pilot,prograde,2,2840.0
electric,ion_next,leo_geo_transfer,my_pilot,prograde,3,2924.5
electric,ion_next,leo_geo_transfer,my_pilot,prograde,4,2537.25
electric,ion_next,leo_geo_transfer,my_pilot,prograde,5,3528.5
electric,ion_next,leo_geo_transfer,my_pilot,prograde,6,2796.25
electric,ion_next,leo_geo_transfer,my_pilot,prograde,7,3134.5
electric,ion_next,leo_geo_transfer,my_pilot,random,0,542.5
electric,ion_next,leo_geo_transfer,my_pilot,random,1,439.5
electric,ion_next,leo_geo_transfer,my_pilot,random,2,536.0
electric,ion_next,leo_geo_transfer,my_pilot,random,3,584.0
electric,ion_next,leo_geo_transfer,my_pilot,random,4,475.75
electric,ion_next,leo_geo_transfer,my_pilot,random,5,539.5
electric,ion_next,leo_geo_transfer,my_pilot,random,6,542.75
electric,ion_next,leo_geo_transfer,my_pilot,random,7,569.25
