sweep,family,propulsion,mission,agent,seed,trip_time_days,wear_fraction,constraint_violations,termination_reason_mode,success_rate,status,source_file
my_pilot,electric,hall_hermes,leo_geo_transfer,ppo,3,365.0,0.1641579678487184,1364.5,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_hermes,leo_geo_transfer,ppo,4,365.0,0.1574574356387756,1342.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_hermes,leo_geo_transfer,ppo,5,365.0,0.1665924352100206,1363.25,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_hermes,leo_geo_transfer,ppo,6,365.0,0.1573037454179068,1316.25,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_hermes,leo_geo_transfer,ppo,7,365.0,0.1612202884378656,1347.25,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_hermes,leo_geo_transfer,sac,4,365.0,0.1585130683007499,1351.25,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_hermes,leo_geo_transfer,sac,3,365.0,0.1653865340888998,1375.25,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_hermes,leo_geo_transfer,sac,2,365.0,0.1649174540642807,1381.5,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_spt100,leo_geo_transfer,random,0,365.0,0.9105833333333332,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_spt100,leo_geo_transfer,random,1,365.0,0.9056388888888888,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_spt100,leo_geo_transfer,random,2,365.0,0.9168888888888888,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_spt100,leo_geo_transfer,random,3,365.0,0.9206388888888888,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_spt100,leo_geo_transfer,random,4,365.0,0.9024166666666666,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_hermes,leo_geo_transfer,sac,5,365.0,0.1686102466147783,1384.75,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_spt100,leo_geo_transfer,random,5,365.0,0.9220833333333334,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_spt100,leo_geo_transfer,random,6,365.0,0.9078888888888887,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_spt100,leo_geo_transfer,random,7,365.0,0.9126111111111112,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_spt100,leo_geo_transfer,max_thrust,0,365.0,0.9398254012779496,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_spt100,leo_geo_transfer,max_thrust,2,365.0,0.9466158576501472,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_spt100,leo_geo_transfer,max_thrust,3,365.0,0.9453972259012564,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_spt100,leo_geo_transfer,max_thrust,4,365.0,0.940770169737744,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_spt100,leo_geo_transfer,max_thrust,5,365.0,0.9541048514206156,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_spt100,leo_geo_transfer,max_thrust,6,365.0,0.9374738861875698,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_spt100,leo_geo_transfer,max_thrust,7,365.0,0.9346499647578396,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_spt100,leo_geo_transfer,prograde,3,365.0,0.8597222222222223,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_spt100,leo_geo_transfer,prograde,4,365.0,0.8453055555555555,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_spt100,leo_geo_transfer,prograde,5,365.0,0.8674166666666667,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_spt100,leo_geo_transfer,prograde,6,365.0,0.8519722222222221,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_spt100,leo_geo_transfer,prograde,7,365.0,0.8543611111111111,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_spt100,leo_geo_transfer,edelbaum,1,365.0,0.8518333333333333,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_spt100,leo_geo_transfer,edelbaum,2,365.0,0.862111111111111,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_spt100,leo_geo_transfer,edelbaum,3,365.0,0.8655555555555556,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_spt100,leo_geo_transfer,edelbaum,4,365.0,0.8521111111111112,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_spt100,leo_geo_transfer,edelbaum,5,365.0,0.8726388888888889,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_spt100,leo_geo_transfer,edelbaum,6,365.0,0.8561944444444444,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_spt100,leo_geo_transfer,edelbaum,7,365.0,0.8597777777777778,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_hermes,leo_geo_transfer,sac,6,365.0,0.1598096877654721,1341.5,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_hermes,leo_geo_transfer,sac,7,365.0,0.1632301847716991,1370.0,timeout,0.0,ok,results/my_pilot/results.csv
