sweep,family,mission,propulsion,agent,seed,status,trip_time_days,wear_fraction,constraint_violations,termination_reason_mode,success_rate,panel
my_pilot,electric,leo_geo_transfer,hall_hermes,prograde,3,ok,365.0,0.3194719219743436,671.75,timeout,0.0,electric  ·  hall_hermes  ·  leo_geo_transfer  ·  my_pilot
my_pilot,electric,leo_geo_transfer,hall_hermes,prograde,4,ok,365.0,0.3249854086846915,330.0,timeout,0.0,electric  ·  hall_hermes  ·  leo_geo_transfer  ·  my_pilot
my_pilot,electric,leo_geo_transfer,hall_hermes,prograde,5,ok,365.0,0.326981724833465,654.25,timeout,0.0,electric  ·  hall_hermes  ·  leo_geo_transfer  ·  my_pilot
my_pilot,electric,leo_geo_transfer,hall_hermes,prograde,6,ok,365.0,0.3218366045029375,460.25,timeout,0.0,electric  ·  hall_hermes  ·  leo_geo_transfer  ·  my_pilot
my_pilot,electric,leo_geo_transfer,hall_hermes,prograde,7,ok,365.0,0.3141288400030879,609.5,timeout,0.0,electric  ·  hall_hermes  ·  leo_geo_transfer  ·  my_pilot
my_pilot,electric,leo_geo_transfer,hall_hermes,edelbaum,3,ok,365.0,0.285013028181511,1141.25,timeout,0.0,electric  ·  hall_hermes  ·  leo_geo_transfer  ·  my_pilot
my_pilot,electric,leo_geo_transfer,hall_hermes,edelbaum,4,ok,365.0,0.2897561493597184,650.75,timeout,0.0,electric  ·  hall_hermes  ·  leo_geo_transfer  ·  my_pilot
my_pilot,electric,leo_geo_transfer,hall_hermes,edelbaum,5,ok,365.0,0.2913013844168363,616.75,timeout,0.0,electric  ·  hall_hermes  ·  leo_geo_transfer  ·  my_pilot
my_pilot,electric,leo_geo_transfer,hall_hermes,edelbaum,6,ok,365.0,0.2863042703494441,570.25,timeout,0.0,electric  ·  hall_hermes  ·  leo_geo_transfer  ·  my_pilot
my_pilot,electric,leo_geo_transfer,hall_hermes,edelbaum,7,ok,365.0,0.2792670532513656,994.75,timeout,0.0,electric  ·  hall_hermes  ·  leo_geo_transfer  ·  my_pilot
my_pilot,electric,leo_geo_transfer,hall_hermes,ppo,3,ok,365.0,0.1641579678487184,1364.5,timeout,0.0,electric  ·  hall_hermes  ·  leo_geo_transfer  ·  my_pilot
my_pilot,electric,leo_geo_transfer,hall_hermes,ppo,4,ok,365.0,0.1574574356387756,1342.0,timeout,0.0,electric  ·  hall_hermes  ·  leo_geo_transfer  ·  my_pilot
my_pilot,electric,leo_geo_transfer,hall_hermes,ppo,5,ok,365.0,0.1665924352100206,1363.25,timeout,0.0,electric  ·  hall_hermes  ·  leo_geo_transfer  ·  my_pilot
my_pilot,electric,leo_geo_transfer,hall_hermes,ppo,6,ok,365.0,0.1573037454179068,1316.25,timeout,0.0,electric  ·  hall_hermes  ·  leo_geo_transfer  ·  my_pilot
my_pilot,electric,leo_geo_transfer,hall_hermes,ppo,7,ok,365.0,0.1612202884378656,1347.25,timeout,0.0,electric  ·  hall_hermes  ·  leo_geo_transfer  ·  my_pilot
my_pilot,electric,leo_geo_transfer,hall_hermes,sac,4,ok,365.0,0.1585130683007499,1351.25,timeout,0.0,electric  ·  hall_hermes  ·  leo_geo_transfer  ·  my_pilot
my_pilot,electric,leo_geo_transfer,hall_hermes,sac,3,ok,365.0,0.1653865340888998,1375.25,timeout,0.0,electric  ·  hall_hermes  ·  leo_geo_transfer  ·  my_pilot
my_pilot,electric,leo_geo_transfer,hall_hermes,sac,2,ok,365.0,0.1649174540642807,1381.5,timeout,0.0,electric  ·  hall_hermes  ·  leo_geo_transfer  ·  my_pilot
my_pilot,electric,leo_geo_transfer,hall_spt100,random,0,ok,365.0,0.9105833333333332,0.0,timeout,0.0,electric  ·  hall_spt100  ·  leo_geo_transfer  ·  my_pilot
my_pilot,electric,leo_geo_transfer,hall_spt100,random,1,ok,365.0,0.9056388888888888,0.0,timeout,0.0,electric  ·  hall_spt100  ·  leo_geo_transfer  ·  my_pilot
my_pilot,electric,leo_geo_transfer,hall_spt100,random,2,ok,365.0,0.9168888888888888,0.0,timeout,0.0,electric  ·  hall_spt100  ·  leo_geo_transfer  ·  my_pilot
my_pilot,electric,leo_geo_transfer,hall_spt100,random,3,ok,365.0,0.9206388888888888,0.0,timeout,0.0,electric  ·  hall_spt100  ·  leo_geo_transfer  ·  my_pilot
my_pilot,electric,leo_geo_transfer,hall_spt100,random,4,ok,365.0,0.9024166666666666,0.0,timeout,0.0,electric  ·  hall_spt100  ·  leo_geo_transfer  ·  my_pilot
my_pilot,electric,leo_geo_transfer,hall_hermes,sac,5,ok,365.0,0.1686102466147783,1384.75,timeout,0.0,electric  ·  hall_hermes  ·  leo_geo_transfer  ·  my_pilot
my_pilot,electric,leo_geo_transfer,hall_spt100,random,5,ok,365.0,0.9220833333333334,0.0,timeout,0.0,electric  ·  hall_spt100  ·  leo_geo_transfer  ·  my_pilot
my_pilot,electric,leo_geo_transfer,hall_spt100,random,6,ok,365.0,0.9078888888888887,0.0,timeout,0.0,electric  ·  hall_spt100  ·  leo_geo_transfer  ·  my_pilot
my_pilot,electric,leo_geo_transfer,hall_spt100,random,7,ok,365.0,0.9126111111111112,0.0,timeout,0.0,electric  ·  hall_spt100  ·  leo_geo_transfer  ·  my_pilot
my_pilot,electric,leo_geo_transfer,hall_spt100,max_thrust,0,ok,365.0,0.9398254012779496,0.0,timeout,0.0,electric  ·  hall_spt100  ·  leo_geo_transfer  ·  my_pilot
my_pilot,electric,leo_geo_transfer,hall_spt100,max_thrust,2,ok,365.0,0.9466158576501472,0.0,timeout,0.0,electric  ·  hall_spt100  ·  leo_geo_transfer  ·  my_pilot
my_pilot,electric,leo_geo_transfer,hall_spt100,max_thrust,3,ok,365.0,0.9453972259012564,0.0,timeout,0.0,electric  ·  hall_spt100  ·  leo_geo_transfer  ·  my_pilot
my_pilot,electric,leo_geo_transfer,hall_spt100,max_thrust,4,ok,365.0,0.940770169737744,0.0,timeout,0.0,electric  ·  hall_spt100  ·  leo_geo_transfer  ·  my_pilot
my_pilot,electric,leo_geo_transfer,hall_spt100,max_thrust,5,ok,365.0,0.9541048514206156,0.0,timeout,0.0,electric  ·  hall_spt100  ·  leo_geo_transfer  ·  my_pilot
my_pilot,electric,leo_geo_transfer,hall_spt100,max_thrust,6,ok,365.0,0.9374738861875698,0.0,timeout,0.0,electric  ·  hall_spt100  ·  leo_geo_transfer  ·  my_pilot
my_pilot,electric,leo_geo_transfer,hall_spt100,max_thrust,7,ok,365.0,0.9346499647578396,0.0,timeout,0.0,electric  ·  hall_spt100  ·  leo_geo_transfer  ·  my_pilot
my_pilot,electric,leo_geo_transfer,hall_spt100,prograde,3,ok,365.0,0.8597222222222223,0.0,timeout,0.0,electric  ·  hall_spt100  ·  leo_geo_transfer  ·  my_pilot
my_pilot,electric,leo_geo_transfer,hall_spt100,prograde,4,ok,365.0,0.8453055555555555,0.0,timeout,0.0,electric  ·  hall_spt100  ·  leo_geo_transfer  ·  my_pilot
my_pilot,electric,leo_geo_transfer,hall_spt100,prograde,5,ok,365.0,0.8674166666666667,0.0,timeout,0.0,electric  ·  hall_spt100  ·  leo_geo_transfer  ·  my_pilot
my_pilot,electric,leo_geo_transfer,hall_spt100,prograde,6,ok,365.0,0.8519722222222221,0.0,timeout,0.0,electric  ·  hall_spt100  ·  leo_geo_transfer  ·  my_pilot
my_pilot,electric,leo_geo_transfer,hall_spt100,prograde,7,ok,365.0,0.8543611111111111,0.0,timeout,0.0,electric  ·  hall_spt100  ·  leo_geo_transfer  ·  my_pilot
my_pilot,electric,leo_geo_transfer,hall_spt100,edelbaum,1,ok,365.0,0.8518333333333333,0.0,timeout,0.0,electric  ·  hall_spt100  ·  leo_geo_transfer  ·  my_pilot
my_pilot,electric,leo_geo_transfer,hall_spt100,edelbaum,2,ok,365.0,0.862111111111111,0.0,timeout,0.0,electric  ·  hall_spt100  ·  leo_geo_transfer  ·  my_pilot
my_pilot,electric,leo_geo_transfer,hall_spt100,edelbaum,3,ok,365.0,0.8655555555555556,0.0,timeout,0.0,electric  ·  hall_spt100  ·  leo_geo_transfer  ·  my_pilot
my_pilot,electric,leo_geo_transfer,hall_spt100,edelbaum,4,ok,365.0,0.8521111111111112,0.0,timeout,0.0,electric  ·  hall_spt100  ·  leo_geo_transfer  ·  my_pilot
my_pilot,electric,leo_geo_transfer,hall_spt100,edelbaum,5,ok,365.0,0.8726388888888889,0.0,timeout,0.0,electric  ·  hall_spt100  ·  leo_geo_transfer  ·  my_pilot
my_pilot,electric,leo_geo_transfer,hall_spt100,edelbaum,6,ok,365.0,0.8561944444444444,0.0,timeout,0.0,electric  ·  hall_spt100  ·  leo_geo_transfer  ·  my_pilot
my_pilot,electric,leo_geo_transfer,hall_spt100,edelbaum,7,ok,365.0,0.8597777777777778,0.0,timeout,0.0,electric  ·  hall_spt100  ·  leo_geo_transfer  ·  my_pilot
